Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.39;91.62;7.12;24704.96;0.31;0.16;0.04;0.1;0.15;7.74;0;0.12;
knl01;_ALL;_ALL;0.39;91.62;7.12;24704.96;0.31;0.16;0.04;0.1;0.15;7.74;0;0.12;
knl01;13429;_ALL;0.39;93.31;5.65;1540;0.26;0.13;0;0.06;0.19;7.7;0;0;
knl01;13429;13429;0.39;93.31;5.65;1540;0.26;0.13;0;0.06;0.19;7.7;0;0;
knl01;13431;_ALL;0.39;92.68;6.22;1543;0.19;0.13;0.13;0.06;0.06;7.71;0;0.13;
knl01;13431;13431;0.39;92.68;6.22;1543;0.19;0.13;0.13;0.06;0.06;7.71;0;0.13;
knl01;13435;_ALL;0.45;92.04;6.86;1545.99;0.32;0.13;0;0.06;0.06;7.73;0;0.06;
knl01;13435;13435;0.45;92.04;6.86;1545.99;0.32;0.13;0;0.06;0.06;7.73;0;0.06;
knl01;13425;_ALL;0.39;92.63;6.21;1546.99;0.45;0;0;0.13;0.06;7.73;0;0.13;
knl01;13425;13425;0.39;92.63;6.21;1546.99;0.45;0;0;0.13;0.06;7.73;0;0.13;
knl01;13424;_ALL;0.78;94.36;4.08;1543.01;0.39;0.19;0.06;0;0;7.72;0;0.13;
knl01;13424;13424;0.78;94.36;4.08;1543.01;0.39;0.19;0.06;0;0;7.72;0;0.13;
knl01;13427;_ALL;0.52;91.32;7.38;1543.99;0.19;0.26;0.06;0.06;0.06;7.72;0;0.13;
knl01;13427;13427;0.52;91.32;7.38;1543.99;0.19;0.26;0.06;0.06;0.06;7.72;0;0.13;
knl01;13430;_ALL;0.39;91.97;7.12;1543.99;0.13;0.13;0;0;0.13;7.72;0;0.13;
knl01;13430;13430;0.39;91.97;7.12;1543.99;0.13;0.13;0;0;0.13;7.72;0;0.13;
knl01;13426;_ALL;0.26;92.11;6.47;1546;0.26;0.26;0.06;0.32;0.19;7.73;0;0.06;
knl01;13426;13426;0.26;92.11;6.47;1546;0.26;0.26;0.06;0.32;0.19;7.73;0;0.06;
knl01;13432;_ALL;0.39;93.52;4.86;1541.99;0.58;0.19;0;0.13;0.19;7.71;0;0.13;
knl01;13432;13432;0.39;93.52;4.86;1541.99;0.58;0.19;0;0.13;0.19;7.71;0;0.13;
knl01;13437;_ALL;0.39;92.39;6.37;1538;0.2;0.13;0.07;0.13;0.07;7.69;0;0.26;
knl01;13437;13437;0.39;92.39;6.37;1538;0.2;0.13;0.07;0.13;0.07;7.69;0;0.26;
knl01;13436;_ALL;0.45;88.1;10.61;1545.99;0.32;0.06;0;0.13;0.19;7.73;0;0.13;
knl01;13436;13436;0.45;88.1;10.61;1545.99;0.32;0.06;0;0.13;0.19;7.73;0;0.13;
knl01;13428;_ALL;0.32;90.93;7.64;1544.02;0.39;0.26;0;0;0.32;7.72;0;0.13;
knl01;13428;13428;0.32;90.93;7.64;1544.02;0.39;0.26;0;0;0.32;7.72;0;0.13;
knl01;13438;_ALL;0.06;92.15;6.61;1541.98;0.26;0.19;0.13;0.13;0.06;7.71;0;0.39;
knl01;13438;13438;0.06;92.15;6.61;1541.98;0.26;0.19;0.13;0.13;0.06;7.71;0;0.39;
knl01;13440;_ALL;0.39;87.52;11.18;1547;0.26;0.13;0;0.06;0.39;7.74;0;0.06;
knl01;13440;13440;0.39;87.52;11.18;1547;0.26;0.13;0;0.06;0.39;7.74;0;0.06;
knl01;13433;_ALL;0.19;92.75;5.89;1545.01;0.45;0.19;0.06;0.13;0.32;7.73;0;0;
knl01;13433;13433;0.19;92.75;5.89;1545.01;0.45;0.19;0.06;0.13;0.32;7.73;0;0;
knl01;13434;_ALL;0.52;88.11;10.66;1548;0.32;0.19;0;0.13;0.06;7.74;0;0;
knl01;13434;13434;0.52;88.11;10.66;1548;0.32;0.19;0;0.13;0.06;7.74;0;0;
